p_t mean,f0 mean,edit dist,edit std,edit dist mv,edit std mv,cov delta,cov std,exac delta,exac std
0.1,0.6,3.98,1.385,9.58,2.272,0.051,0.057,0.041,0.042
0.1,0.6,3.64,1.411,8.65,2.334,0.041,0.033,0.035,0.023
0.1,0.6,3.83,1.47,8.79,2.605,0.066,0.051,0.056,0.038
0.1,0.6,3.79,1.57,8.63,2.501,0.052,0.043,0.042,0.029
0.1,0.6,3.53,1.459,8.16,2.344,0.05,0.049,0.039,0.036
0.1,0.7,3.79,1.499,8.75,2.833,0.043,0.036,0.035,0.027
0.1,0.7,3.69,1.419,8.43,2.281,0.059,0.045,0.049,0.036
0.1,0.7,3.78,1.616,8.69,2.053,0.043,0.042,0.035,0.03
0.1,0.7,3.76,1.436,8.33,2.486,0.066,0.047,0.054,0.034
0.1,0.7,4.1,1.559,8.92,2.436,0.052,0.051,0.043,0.037
0.1,0.7,4.09,1.497,8.67,2.417,0.097,0.084,0.088,0.062
0.1,0.7,4.07,1.351,9.38,2.034,0.072,0.093,0.064,0.069
0.1,0.7,3.59,1.429,8.59,2.228,0.044,0.043,0.036,0.031
0.1,0.7,3.77,1.333,9.81,2.456,0.042,0.049,0.038,0.037
0.1,0.7,4.07,1.444,8.87,2.185,0.058,0.078,0.045,0.059
0.1,0.8,3.95,1.577,8.98,2.362,0.057,0.044,0.046,0.032
0.1,0.8,3.95,1.676,8.57,2.754,0.056,0.035,0.047,0.026
0.1,0.8,3.82,1.465,9.23,2.349,0.052,0.049,0.043,0.038
0.1,0.8,3.83,1.357,9.22,2.697,0.071,0.041,0.067,0.03
0.1,0.8,3.71,1.451,8.84,2.544,0.033,0.035,0.028,0.029
0.1,0.8,3.78,1.501,8.93,2.483,0.043,0.041,0.034,0.029
0.1,0.8,3.84,1.398,8.93,2.562,0.046,0.024,0.036,0.018
0.1,0.8,3.66,1.409,8.13,2.452,0.058,0.053,0.045,0.039
0.1,0.8,3.76,1.778,8.57,2.455,0.023,0.02,0.018,0.018
0.1,0.8,3.86,1.637,9.36,2.496,0.04,0.044,0.037,0.039
0.1,0.9,3.89,1.476,8.72,2.32,0.069,0.062,0.054,0.045
0.1,0.9,3.34,1.458,7.68,2.642,0.039,0.034,0.031,0.029
0.1,0.9,3.49,1.52,8.4,2.546,0.055,0.046,0.047,0.034
0.1,0.9,4.1,1.539,8.91,2.337,0.065,0.05,0.064,0.033
0.1,0.9,3.75,1.479,9.2,2.345,0.042,0.035,0.035,0.024
0.1,0.9,4.01,1.466,8.47,2.406,0.047,0.052,0.034,0.04
0.1,0.9,3.7,1.584,8.44,2.329,0.061,0.048,0.048,0.033
0.1,0.9,3.83,1.379,9.16,2.262,0.057,0.075,0.047,0.056
0.1,0.9,4.02,1.326,8.57,1.946,0.079,0.065,0.074,0.045
0.1,0.9,3.81,1.362,8.39,2.477,0.055,0.011,0.047,0.01
0.1,1.0,3.73,1.413,8.94,2.572,0.049,0.054,0.038,0.039
0.1,1.0,3.54,1.403,8.37,2.595,0.061,0.033,0.052,0.026
0.1,1.0,3.96,1.516,8.63,2.189,0.073,0.043,0.056,0.035
0.1,1.0,3.87,1.461,8.68,2.28,0.062,0.057,0.053,0.046
0.1,1.0,3.72,1.582,8.14,2.417,0.066,0.057,0.054,0.046
0.1,1.0,3.89,1.549,8.27,2.42,0.051,0.041,0.041,0.033
0.1,1.0,3.65,1.403,6.99,2.278,0.069,0.045,0.047,0.031
0.1,1.0,3.39,1.536,7.02,2.713,0.046,0.02,0.033,0.013
0.1,1.0,3.66,1.485,9.03,2.484,0.045,0.026,0.038,0.021
0.1,1.0,3.89,1.58,8.52,2.707,0.072,0.089,0.058,0.068
0.2,0.0,4.07,1.518,10.08,2.587,0.047,0.087,0.041,0.067
0.2,0.0,4.55,1.545,9.98,2.458,0.044,0.07,0.041,0.049
0.2,0.0,4.08,1.454,9.55,2.418,0.044,0.078,0.037,0.06
0.2,0.0,4.02,1.51,9.86,2.311,0.042,0.053,0.035,0.043
0.2,0.0,4.28,1.463,9.85,2.104,0.051,0.065,0.048,0.044
0.2,0.0,4.38,1.561,9.77,2.37,0.05,0.058,0.051,0.046
0.2,0.0,4.24,1.477,9.92,2.301,0.043,0.057,0.042,0.035
0.2,0.0,4.13,1.579,9.86,2.186,0.049,0.066,0.043,0.052
0.2,0.0,3.92,1.554,9.75,2.439,0.04,0.073,0.032,0.055
