p_t mean,f0 mean,edit dist,edit std,edit dist mv,edit std mv,cov delta,cov std,exac delta,exac std
0.1,0.6,3.2,0.583,6.26,2.028,0.049,0.057,0.053,0.044
0.1,0.7,3.34,0.636,6.14,1.929,0.054,0.066,0.043,0.056
0.1,0.7,3.25,0.622,5.65,1.693,0.05,0.053,0.045,0.04
0.1,0.7,3.13,0.702,6.02,1.908,0.034,0.02,0.036,0.025
0.1,0.7,3.17,0.664,5.81,1.869,0.042,0.038,0.038,0.033
0.1,0.7,3.24,0.634,6.24,1.871,0.049,0.077,0.042,0.059
0.1,0.7,3.37,0.643,6.37,1.901,0.063,0.066,0.062,0.053
0.1,0.7,3.15,0.669,5.72,1.738,0.06,0.048,0.047,0.04
0.1,0.7,3.27,0.646,5.79,2.006,0.047,0.054,0.049,0.037
0.1,0.7,3.38,0.629,5.83,1.908,0.068,0.074,0.058,0.062
0.1,0.7,3.06,0.892,5.16,1.579,0.045,0.043,0.03,0.035
0.1,0.8,3.27,0.614,6.35,1.867,0.067,0.078,0.063,0.063
0.1,0.8,3.27,0.63,6.25,1.915,0.055,0.06,0.055,0.047
0.1,0.8,3.3,0.656,6.26,1.863,0.055,0.077,0.053,0.057
0.1,0.8,3.2,0.648,6.04,1.892,0.053,0.063,0.04,0.051
0.1,0.8,3.03,0.714,5.96,1.788,0.034,0.046,0.03,0.038
0.1,0.8,3.18,0.712,5.96,2.195,0.056,0.054,0.045,0.04
0.1,0.8,3.14,0.775,5.17,2.02,0.042,0.048,0.037,0.035
0.1,0.8,3.35,0.572,5.99,1.712,0.064,0.069,0.064,0.054
0.1,0.8,3.22,0.642,6.0,1.929,0.047,0.063,0.041,0.05
0.1,0.8,2.98,0.721,5.73,1.702,0.049,0.046,0.044,0.032
0.1,0.9,3.08,0.658,6.06,1.782,0.046,0.041,0.045,0.035
0.1,0.9,3.2,0.648,6.1,1.836,0.061,0.072,0.059,0.054
0.1,0.9,3.16,0.659,5.99,1.987,0.054,0.04,0.051,0.033
0.1,0.9,2.95,0.792,5.7,1.905,0.041,0.034,0.036,0.028
0.1,0.9,3.22,0.672,6.16,1.885,0.057,0.052,0.05,0.045
0.1,0.9,3.11,0.706,5.91,1.806,0.048,0.044,0.042,0.038
0.1,0.9,3.23,0.661,5.95,1.894,0.067,0.07,0.056,0.055
0.1,0.9,3.23,0.719,5.79,2.051,0.053,0.063,0.046,0.045
0.1,0.9,3.15,0.74,6.68,1.886,0.051,0.04,0.055,0.033
0.1,0.9,3.31,0.595,5.92,1.724,0.052,0.05,0.049,0.04
0.1,1.0,3.17,0.664,5.85,2.075,0.057,0.045,0.049,0.04
0.1,1.0,3.36,0.625,6.48,1.936,0.066,0.056,0.064,0.041
0.1,1.0,3.07,0.711,5.68,1.737,0.043,0.045,0.043,0.037
0.1,1.0,3.14,0.837,5.7,1.884,0.041,0.042,0.032,0.034
0.1,1.0,3.23,0.526,6.5,2.057,0.078,0.077,0.067,0.059
0.1,1.0,2.95,0.817,4.88,1.883,0.035,0.035,0.03,0.024
0.1,1.0,3.13,0.744,5.68,2.054,0.066,0.052,0.057,0.044
0.1,1.0,3.21,0.739,5.87,1.953,0.051,0.044,0.045,0.035
0.1,1.0,3.0,0.86,5.7,1.926,0.026,0.018,0.032,0.016
0.1,1.0,2.9,0.819,5.68,1.928,0.042,0.031,0.03,0.024
0.2,0.0,3.28,0.584,6.37,1.665,0.069,0.069,0.07,0.052
