dist_metric,iter_number,sources accuracy
2.9435207972923823,17,"[0.5164456111088462, 0.3498942568254185, 0.36267306047110853, 0.3877619814310216, 0.3288006944044105]"
3.9672009304684344,7,"[0.40470596658125463, 0.5039868294786177, 0.38087146610850103, 0.468057767844498, 0.38756901437272734]"
4.6872438184801304,6,"[0.3587797129189957, 0.38793712269430003, 0.4875770545179067, 0.4262510526163263, 0.4130567797570457]"
3.3553412878582356,7,"[0.3730897296676984, 0.28050408584442815, 0.460232480961683, 0.31159556791799903, 0.35383216982080806]"
5.0049876371357342,6,"[0.5522750003407535, 0.4401341656834076, 0.32343974616149224, 0.29171260460839715, 0.4368595205986746]"
3.1311168082258423,8,"[0.3230970961116493, 0.3606248463744009, 0.3340792640751999, 0.39701204459790146, 0.4092392009747747]"
2.4138629172817319,5,"[0.3747993529726641, 0.2642661594578296, 0.3624926475970098, 0.28497647957605216, 0.3462210221066779]"
3.4464820444641342,8,"[0.3793661350703392, 0.4008148042747085, 0.39181646113404195, 0.43584357565068654, 0.34405911574296205]"
3.8268065619958929,6,"[0.4030830470201709, 0.3514042369445082, 0.4778480508295117, 0.4757553892067001, 0.4171346533735831]"
2.5922162623641709,6,"[0.29690720787604846, 0.25280035176489724, 0.39106019539926196, 0.3363226161883225, 0.3999956712400415]"
3.8712008619902658,8,"[0.4700130878427076, 0.4850710748790238, 0.44470733221989117, 0.41125583987523046, 0.45299020636071363]"
6.0455899235997679,4,"[0.6187476313282053, 0.5204665057880619, 0.50864612711054, 0.5490519896947895, 0.5655336249750341]"
2.9114498580331869,7,"[0.33298218695805126, 0.3172713750084045, 0.3489179565790152, 0.285293796892288, 0.40278405457428706]"
4.7895099375636647,5,"[0.424354044499017, 0.33742394022505345, 0.41373872802227546, 0.3898534784583357, 0.4360950077861561]"
3.3609424421496139,7,"[0.34780280137368386, 0.3681319906225237, 0.327354447600026, 0.3459172230637722, 0.4142058109456979]"
3.9158716241492919,7,"[0.40728106698984706, 0.4813315078819498, 0.3346174620502275, 0.34357996179845846, 0.4290836020871419]"
3.3839261459462588,8,"[0.3325056240324624, 0.38952765869465295, 0.4257013988496227, 0.40312970755648697, 0.35899812026287636]"
4.6022361582904647,5,"[0.44347857454215805, 0.4296030964306064, 0.34316580570054883, 0.4155738177428397, 0.4187666085093261]"
5.0110710016798636,5,"[0.5168863881981373, 0.5260042926072641, 0.42244914139943424, 0.4954158599175305, 0.5045191677787687]"
3.0301731769820286,7,"[0.3300195091528931, 0.220371215237368, 0.5110773176995218, 0.3208511114349356, 0.24121645655514665]"
4.2283112622302834,5,"[0.37871316304193486, 0.3234253252595939, 0.3133874493354382, 0.43054750710587, 0.36095944990038703]"
3.8479783096880906,5,"[0.42702245378386183, 0.4698969102810651, 0.39618892407636735, 0.5729098553553482, 0.35270438345906413]"
4.2214338257334072,5,"[0.41693349836162924, 0.3887645512729497, 0.4024288187937263, 0.4542192231189023, 0.4402698663214908]"
3.5243164395856112,5,"[0.49726607702048053, 0.2517252755234241, 0.30801857275095684, 0.4424186868370078, 0.407660269216302]"
3.0791938759095894,17,"[0.3629802805042026, 0.4659388845446153, 0.4547301401163745, 0.362663679453148, 0.4753422221137376]"
2.8236204965614622,9,"[0.44989333884613975, 0.43254227776875237, 0.3522629521035049, 0.40194308298947484, 0.34101499833516385]"
5.6432628499377371,5,"[0.4266498355660132, 0.3972282106225178, 0.4156238153757874, 0.5539111309256151, 0.44529180659615825]"
